group	tsnr_mean	n_parcels	dataset	subject	session	task	run
cerebellum	32.056986507909485	88	retinotopy	01	001	bars	
cortex_Cont	46.0620396571544	128	retinotopy	01	001	bars	
cortex_Default	42.59121620862413	209	retinotopy	01	001	bars	
cortex_DorsAttn	48.69113414971438	122	retinotopy	01	001	bars	
cortex_Limbic	17.47902080653523	60	retinotopy	01	001	bars	
cortex_SalVentAttn	45.253107764716255	121	retinotopy	01	001	bars	
cortex_SomMot	46.73444846497386	194	retinotopy	01	001	bars	
cortex_Vis	37.9882438604054	162	retinotopy	01	001	bars	
subcortex_CAU	26.98916080567092	8	retinotopy	01	001	bars	
subcortex_PUT	27.058317034563466	8	retinotopy	01	001	bars	
subcortex_THA	26.823269446005806	14	retinotopy	01	001	bars	
cerebellum	28.19170552874608	88	retinotopy	01	001	rings	
cortex_Cont	39.00839012857402	128	retinotopy	01	001	rings	
cortex_Default	36.996121533671655	209	retinotopy	01	001	rings	
cortex_DorsAttn	40.324766885079605	122	retinotopy	01	001	rings	
cortex_Limbic	16.29658742552503	60	retinotopy	01	001	rings	
cortex_SalVentAttn	40.538674738469936	121	retinotopy	01	001	rings	
cortex_SomMot	39.15675347545973	194	retinotopy	01	001	rings	
cortex_Vis	32.46609685207923	162	retinotopy	01	001	rings	
subcortex_CAU	26.298276319040717	8	retinotopy	01	001	rings	
subcortex_PUT	26.762396655947626	8	retinotopy	01	001	rings	
subcortex_THA	26.26436217004908	14	retinotopy	01	001	rings	
cerebellum	30.411094888291846	88	retinotopy	01	001	wedges	
cortex_Cont	41.10000806791752	128	retinotopy	01	001	wedges	
cortex_Default	38.51878656691512	209	retinotopy	01	001	wedges	
cortex_DorsAttn	44.7674127337515	122	retinotopy	01	001	wedges	
cortex_Limbic	16.368672547772842	60	retinotopy	01	001	wedges	
cortex_SalVentAttn	42.13258440158959	121	retinotopy	01	001	wedges	
cortex_SomMot	41.770158361873364	194	retinotopy	01	001	wedges	
cortex_Vis	35.81719373763803	162	retinotopy	01	001	wedges	
subcortex_CAU	26.715400391376868	8	retinotopy	01	001	wedges	
subcortex_PUT	26.772741860220293	8	retinotopy	01	001	wedges	
subcortex_THA	26.448312824426917	14	retinotopy	01	001	wedges	
cerebellum	28.132496949542816	88	retinotopy	01	002	bars	
cortex_Cont	39.6793092409045	128	retinotopy	01	002	bars	
cortex_Default	37.178200119367624	209	retinotopy	01	002	bars	
cortex_DorsAttn	42.7811280501134	122	retinotopy	01	002	bars	
cortex_Limbic	14.803868133636742	60	retinotopy	01	002	bars	
