group	tsnr_mean	n_parcels	dataset	subject	session	task	run
cortex_SalVentAttn	42.4513583134129	121	things	01	05	things	6
cortex_SomMot	42.48683471748785	194	things	01	05	things	6
cortex_Vis	36.23197162884881	162	things	01	05	things	6
subcortex_CAU	26.928610175395374	8	things	01	05	things	6
subcortex_PUT	27.78119000961007	8	things	01	05	things	6
subcortex_THA	26.958339399711782	14	things	01	05	things	6
cerebellum	27.590685629807343	88	things	01	06	things	1
cortex_Cont	35.67322069710913	128	things	01	06	things	1
cortex_Default	34.2633081495389	209	things	01	06	things	1
cortex_DorsAttn	37.95478905273744	122	things	01	06	things	1
cortex_Limbic	14.91702075962695	60	things	01	06	things	1
cortex_SalVentAttn	38.34496804804072	121	things	01	06	things	1
cortex_SomMot	38.36049547909989	194	things	01	06	things	1
cortex_Vis	30.240961296531534	162	things	01	06	things	1
subcortex_CAU	25.302239346929	8	things	01	06	things	1
subcortex_PUT	25.056556059398	8	things	01	06	things	1
subcortex_THA	26.172810856082773	14	things	01	06	things	1
cerebellum	30.299034884024422	88	things	01	06	things	2
cortex_Cont	41.428983824443776	128	things	01	06	things	2
cortex_Default	38.89522255181483	209	things	01	06	things	2
cortex_DorsAttn	43.98651543637331	122	things	01	06	things	2
cortex_Limbic	16.952823565462065	60	things	01	06	things	2
cortex_SalVentAttn	43.071478845304995	121	things	01	06	things	2
cortex_SomMot	42.9189371793827	194	things	01	06	things	2
cortex_Vis	34.912153222979015	162	things	01	06	things	2
subcortex_CAU	28.092153960805582	8	things	01	06	things	2
subcortex_PUT	26.926882679722038	8	things	01	06	things	2
subcortex_THA	26.706289769052262	14	things	01	06	things	2
cerebellum	27.089556883652577	88	things	01	06	things	3
cortex_Cont	38.351449808099524	128	things	01	06	things	3
cortex_Default	36.58152798740283	209	things	01	06	things	3
cortex_DorsAttn	39.93183149096721	122	things	01	06	things	3
cortex_Limbic	16.389037421853654	60	things	01	06	things	3
cortex_SalVentAttn	40.81275958223395	121	things	01	06	things	3
cortex_SomMot	40.06416398655128	194	things	01	06	things	3
cortex_Vis	31.415701751198654	162	things	01	06	things	3
subcortex_CAU	27.51761397116902	8	things	01	06	things	3
subcortex_PUT	27.231275239190854	8	things	01	06	things	3
subcortex_THA	26.625821085248052	14	things	01	06	things	3
cerebellum	28.55907315576684	88	things	01	06	things	4
cortex_Cont	37.638955139953964	128	things	01	06	things	4
cortex_Default	35.739246990739005	209	things	01	06	things	4
cortex_DorsAttn	40.47069984804944	122	things	01	06	things	4
cortex_Limbic	16.223609143267872	60	things	01	06	things	4
cortex_SalVentAttn	38.92661049519177	121	things	01	06	things	4
cortex_SomMot	37.545934016098755	194	things	01	06	things	4
cortex_Vis	32.90322742310197	162	things	01	06	things	4
subcortex_CAU	25.706370002465395	8	things	01	06	things	4
subcortex_PUT	25.22462598888757	8	things	01	06	things	4
subcortex_THA	26.03451505093412	14	things	01	06	things	4
cerebellum	30.422271974559067	88	things	01	06	things	5
cortex_Cont	41.40972498923117	128	things	01	06	things	5
cortex_Default	39.71782861850601	209	things	01	06	things	5
cortex_DorsAttn	43.0014770900119	122	things	01	06	things	5
cortex_Limbic	17.851081386401834	60	things	01	06	things	5
cortex_SalVentAttn	42.906949839700786	121	things	01	06	things	5
cortex_SomMot	42.07709188634002	194	things	01	06	things	5
cortex_Vis	34.596436511615366	162	things	01	06	things	5
subcortex_CAU	28.92822049084589	8	things	01	06	things	5
subcortex_PUT	26.98949395173683	8	things	01	06	things	5
subcortex_THA	26.812592289754043	14	things	01	06	things	5
cerebellum	28.241123930581125	88	things	01	06	things	6
cortex_Cont	38.306738881856006	128	things	01	06	things	6
cortex_Default	36.40322727257913	209	things	01	06	things	6
cortex_DorsAttn	40.7738858393189	122	things	01	06	things	6
cortex_Limbic	16.5841906045026	60	things	01	06	things	6
cortex_SalVentAttn	40.346786045951944	121	things	01	06	things	6
cortex_SomMot	39.83115053462458	194	things	01	06	things	6
cortex_Vis	32.184817680407896	162	things	01	06	things	6
subcortex_CAU	26.819351511304387	8	things	01	06	things	6
subcortex_PUT	26.223008609151936	8	things	01	06	things	6
subcortex_THA	26.28651894545666	14	things	01	06	things	6
cerebellum	29.675116773943763	88	things	01	07	things	1
cortex_Cont	39.9076673639186	128	things	01	07	things	1
cortex_Default	38.46451759230688	209	things	01	07	things	1
cortex_DorsAttn	43.50939084158098	122	things	01	07	things	1
cortex_Limbic	16.687994090425253	60	things	01	07	things	1
cortex_SalVentAttn	42.39407029902132	121	things	01	07	things	1
cortex_SomMot	41.635244159143554	194	things	01	07	things	1
cortex_Vis	33.89422065591982	162	things	01	07	things	1
subcortex_CAU	27.759642262413223	8	things	01	07	things	1
subcortex_PUT	27.523828634223808	8	things	01	07	things	1
subcortex_THA	27.10036293724532	14	things	01	07	things	1
cerebellum	34.83743022329534	88	things	01	07	things	2
cortex_Cont	50.49087690636981	128	things	01	07	things	2
cortex_Default	46.291310044595825	209	things	01	07	things	2
cortex_DorsAttn	53.748210807345245	122	things	01	07	things	2
cortex_Limbic	18.257307816969593	60	things	01	07	things	2
cortex_SalVentAttn	48.921038773451016	121	things	01	07	things	2
cortex_SomMot	51.02845116555059	194	things	01	07	things	2
cortex_Vis	41.587629691177234	162	things	01	07	things	2
subcortex_CAU	29.19033020634953	8	things	01	07	things	2
subcortex_PUT	28.736464210118974	8	things	01	07	things	2
subcortex_THA	27.93807501460964	14	things	01	07	things	2
cerebellum	32.02799825019694	88	things	01	07	things	3
cortex_Cont	44.33335956239783	128	things	01	07	things	3
cortex_Default	41.16311695564511	209	things	01	07	things	3
cortex_DorsAttn	48.88081208415177	122	things	01	07	things	3
cortex_Limbic	17.085855196716768	60	things	01	07	things	3
cortex_SalVentAttn	44.17941491101052	121	things	01	07	things	3
cortex_SomMot	44.59838788623814	194	things	01	07	things	3
cortex_Vis	38.63380258354588	162	things	01	07	things	3
subcortex_CAU	27.48155822870017	8	things	01	07	things	3
subcortex_PUT	26.53745557205601	8	things	01	07	things	3
subcortex_THA	27.008826940303926	14	things	01	07	things	3
cerebellum	30.963646302932137	88	things	01	07	things	4
cortex_Cont	42.88237476808437	128	things	01	07	things	4
cortex_Default	40.499629510162634	209	things	01	07	things	4
cortex_DorsAttn	45.39890404172488	122	things	01	07	things	4
cortex_Limbic	17.034161822146338	60	things	01	07	things	4
cortex_SalVentAttn	43.67865805047525	121	things	01	07	things	4
cortex_SomMot	42.58171739214305	194	things	01	07	things	4
cortex_Vis	36.71723457908314	162	things	01	07	things	4
subcortex_CAU	27.580394261761057	8	things	01	07	things	4
subcortex_PUT	27.064188910871746	8	things	01	07	things	4
subcortex_THA	26.94551406657285	14	things	01	07	things	4
cerebellum	29.652991542737627	88	things	01	07	things	5
cortex_Cont	40.914611861789666	128	things	01	07	things	5
cortex_Default	38.07317482992355	209	things	01	07	things	5
cortex_DorsAttn	43.18169286443602	122	things	01	07	things	5
cortex_Limbic	15.240620302167992	60	things	01	07	things	5
cortex_SalVentAttn	41.31778605597322	121	things	01	07	things	5
cortex_SomMot	40.501971141906	194	things	01	07	things	5
cortex_Vis	34.74525722968131	162	things	01	07	things	5
subcortex_CAU	26.20828791634367	8	things	01	07	things	5
subcortex_PUT	25.52297805656385	8	things	01	07	things	5
subcortex_THA	25.500557504276458	14	things	01	07	things	5
cerebellum	28.314873740511814	88	things	01	07	things	6
cortex_Cont	39.29945902907783	128	things	01	07	things	6
cortex_Default	36.664385390363	209	things	01	07	things	6
cortex_DorsAttn	41.966632731538525	122	things	01	07	things	6
cortex_Limbic	14.566781348509435	60	things	01	07	things	6
cortex_SalVentAttn	40.915314769010664	121	things	01	07	things	6
cortex_SomMot	39.9221687538712	194	things	01	07	things	6
cortex_Vis	33.63386053356933	162	things	01	07	things	6
subcortex_CAU	25.628048138610254	8	things	01	07	things	6
subcortex_PUT	24.921110619381277	8	things	01	07	things	6
subcortex_THA	25.456158922918355	14	things	01	07	things	6
cerebellum	27.394021504551596	88	things	01	08	things	1
cortex_Cont	37.97777126398765	128	things	01	08	things	1
cortex_Default	35.86432560720854	209	things	01	08	things	1
cortex_DorsAttn	40.55933016451636	122	things	01	08	things	1
cortex_Limbic	15.645948085228353	60	things	01	08	things	1
cortex_SalVentAttn	41.362269582555065	121	things	01	08	things	1
cortex_SomMot	39.24886941360339	194	things	01	08	things	1
cortex_Vis	31.574752406101982	162	things	01	08	things	1
subcortex_CAU	26.693264650872692	8	things	01	08	things	1
