group	tsnr_mean	n_parcels	dataset	subject	session	task	run
cerebellum	28.02616644416305	88	things	01	08	things	6
cortex_Cont	39.14830319486826	128	things	01	08	things	6
cortex_Default	36.341517630207754	209	things	01	08	things	6
cortex_DorsAttn	40.817964885807726	122	things	01	08	things	6
cortex_Limbic	14.182623520789816	60	things	01	08	things	6
cortex_SalVentAttn	39.69235813962528	121	things	01	08	things	6
cortex_SomMot	38.178923099176004	194	things	01	08	things	6
cortex_Vis	33.29508211073615	162	things	01	08	things	6
subcortex_CAU	24.761544286097145	8	things	01	08	things	6
subcortex_PUT	25.300199504880002	8	things	01	08	things	6
subcortex_THA	25.223138745708415	14	things	01	08	things	6
cerebellum	25.627148234905565	88	things	01	09	things	1
cortex_Cont	35.3747045728648	128	things	01	09	things	1
cortex_Default	33.18089639840455	209	things	01	09	things	1
cortex_DorsAttn	37.760599115739495	122	things	01	09	things	1
cortex_Limbic	14.260552213093142	60	things	01	09	things	1
cortex_SalVentAttn	37.71311106628184	121	things	01	09	things	1
cortex_SomMot	36.60611369616894	194	things	01	09	things	1
cortex_Vis	28.869529928012746	162	things	01	09	things	1
subcortex_CAU	24.400809331845913	8	things	01	09	things	1
subcortex_PUT	24.957764376402775	8	things	01	09	things	1
subcortex_THA	25.874734271879586	14	things	01	09	things	1
cerebellum	23.793626410706676	88	things	01	09	things	2
cortex_Cont	32.52319382733197	128	things	01	09	things	2
cortex_Default	30.41571245081596	209	things	01	09	things	2
cortex_DorsAttn	33.72230361577387	122	things	01	09	things	2
cortex_Limbic	13.839542240180727	60	things	01	09	things	2
cortex_SalVentAttn	35.41107611646796	121	things	01	09	things	2
cortex_SomMot	33.96960055513925	194	things	01	09	things	2
cortex_Vis	26.576569950022368	162	things	01	09	things	2
subcortex_CAU	23.600295078855474	8	things	01	09	things	2
subcortex_PUT	24.33064012868246	8	things	01	09	things	2
subcortex_THA	24.06908920004606	14	things	01	09	things	2
cerebellum	27.765275791268184	88	things	01	09	things	3
cortex_Cont	40.27453074171492	128	things	01	09	things	3
cortex_Default	36.894407207712966	209	things	01	09	things	3
cortex_DorsAttn	42.87495541621666	122	things	01	09	things	3
cortex_Limbic	14.408494491721388	60	things	01	09	things	3
cortex_SalVentAttn	40.77494310161431	121	things	01	09	things	3
cortex_SomMot	40.31279750127845	194	things	01	09	things	3
cortex_Vis	33.50757509262016	162	things	01	09	things	3
subcortex_CAU	24.789673599776222	8	things	01	09	things	3
subcortex_PUT	25.959433698953077	8	things	01	09	things	3
subcortex_THA	25.44407317683758	14	things	01	09	things	3
cerebellum	23.437594024139482	88	things	01	09	things	4
cortex_Cont	31.13319299640699	128	things	01	09	things	4
cortex_Default	28.903202237716677	209	things	01	09	things	4
cortex_DorsAttn	32.99125516338182	122	things	01	09	things	4
cortex_Limbic	13.233833448271367	60	things	01	09	things	4
cortex_SalVentAttn	32.973701324729596	121	things	01	09	things	4
cortex_SomMot	31.0491263872841	194	things	01	09	things	4
cortex_Vis	24.89816366194838	162	things	01	09	things	4
subcortex_CAU	22.12089719324616	8	things	01	09	things	4
subcortex_PUT	23.146529829751874	8	things	01	09	things	4
subcortex_THA	22.638970289539174	14	things	01	09	things	4
cerebellum	23.007726801814464	88	things	01	09	things	5
cortex_Cont	32.09322250332639	128	things	01	09	things	5
cortex_Default	30.473162560707237	209	things	01	09	things	5
cortex_DorsAttn	33.703073786442204	122	things	01	09	things	5
cortex_Limbic	13.555495575278725	60	things	01	09	things	5
cortex_SalVentAttn	34.50105731503322	121	things	01	09	things	5
cortex_SomMot	31.94401166194231	194	things	01	09	things	5
cortex_Vis	26.533739973595143	162	things	01	09	things	5
subcortex_CAU	23.260484098702985	8	things	01	09	things	5
subcortex_PUT	24.500384766802895	8	things	01	09	things	5
subcortex_THA	23.80688732519922	14	things	01	09	things	5
cerebellum	25.099535522059057	88	things	01	09	things	6
cortex_Cont	35.59520422236297	128	things	01	09	things	6
cortex_Default	33.26281431985101	209	things	01	09	things	6
cortex_DorsAttn	37.39151209452585	122	things	01	09	things	6
cortex_Limbic	13.3226813337626	60	things	01	09	things	6
cortex_SalVentAttn	37.12070531256299	121	things	01	09	things	6
cortex_SomMot	35.734942167340186	194	things	01	09	things	6
cortex_Vis	29.85041489624697	162	things	01	09	things	6
subcortex_CAU	23.877898462381758	8	things	01	09	things	6
subcortex_PUT	24.40630543718476	8	things	01	09	things	6
subcortex_THA	24.173842344580425	14	things	01	09	things	6
cerebellum	30.98040765688968	88	things	01	10	things	1
cortex_Cont	45.27593337985094	128	things	01	10	things	1
cortex_Default	42.243606690941625	209	things	01	10	things	1
cortex_DorsAttn	47.3815076675364	122	things	01	10	things	1
cortex_Limbic	17.50765158412124	60	things	01	10	things	1
cortex_SalVentAttn	45.690891446477224	121	things	01	10	things	1
cortex_SomMot	46.72397552682697	194	things	01	10	things	1
cortex_Vis	38.22268478043194	162	things	01	10	things	1
subcortex_CAU	27.408229394552784	8	things	01	10	things	1
subcortex_PUT	27.82160079314481	8	things	01	10	things	1
subcortex_THA	27.41380690914284	14	things	01	10	things	1
cerebellum	29.67033815191038	88	things	01	10	things	2
cortex_Cont	42.557220850451536	128	things	01	10	things	2
cortex_Default	39.69128920954002	209	things	01	10	things	2
cortex_DorsAttn	45.02391635335666	122	things	01	10	things	2
cortex_Limbic	16.584340626112848	60	things	01	10	things	2
cortex_SalVentAttn	41.98192116928254	121	things	01	10	things	2
cortex_SomMot	41.83710680482618	194	things	01	10	things	2
cortex_Vis	36.454208942432366	162	things	01	10	things	2
subcortex_CAU	26.85814063546984	8	things	01	10	things	2
subcortex_PUT	26.2025077964609	8	things	01	10	things	2
subcortex_THA	26.513188366507382	14	things	01	10	things	2
cerebellum	25.623572797788185	88	things	01	10	things	3
cortex_Cont	36.94656728539766	128	things	01	10	things	3
cortex_Default	34.141936735852795	209	things	01	10	things	3
cortex_DorsAttn	39.01746853918729	122	things	01	10	things	3
cortex_Limbic	13.794254219438074	60	things	01	10	things	3
cortex_SalVentAttn	38.76055904448752	121	things	01	10	things	3
cortex_SomMot	38.37516985718094	194	things	01	10	things	3
cortex_Vis	30.78939162781438	162	things	01	10	things	3
subcortex_CAU	24.76059469788465	8	things	01	10	things	3
subcortex_PUT	25.067659170905866	8	things	01	10	things	3
subcortex_THA	25.243588739292385	14	things	01	10	things	3
cerebellum	22.623220015704934	88	things	01	10	things	4
cortex_Cont	30.756924201946124	128	things	01	10	things	4
cortex_Default	28.838039320568534	209	things	01	10	things	4
cortex_DorsAttn	32.12257831562656	122	things	01	10	things	4
cortex_Limbic	13.364953634776935	60	things	01	10	things	4
cortex_SalVentAttn	33.92044536309211	121	things	01	10	things	4
cortex_SomMot	33.16812455897828	194	things	01	10	things	4
cortex_Vis	25.174739626852027	162	things	01	10	things	4
subcortex_CAU	23.480225032046388	8	things	01	10	things	4
subcortex_PUT	23.420857423160843	8	things	01	10	things	4
subcortex_THA	23.08154035906944	14	things	01	10	things	4
cerebellum	21.20618122446939	88	things	01	10	things	5
cortex_Cont	30.440525186592215	128	things	01	10	things	5
cortex_Default	28.861654968640995	209	things	01	10	things	5
cortex_DorsAttn	31.698380630290107	122	things	01	10	things	5
cortex_Limbic	13.6893698775401	60	things	01	10	things	5
cortex_SalVentAttn	33.44184217501215	121	things	01	10	things	5
cortex_SomMot	31.117691942718817	194	things	01	10	things	5
cortex_Vis	24.788122614911686	162	things	01	10	things	5
subcortex_CAU	23.689138585460917	8	things	01	10	things	5
subcortex_PUT	23.478619119877933	8	things	01	10	things	5
subcortex_THA	22.543239739343836	14	things	01	10	things	5
cerebellum	24.593893233037146	88	things	01	10	things	6
cortex_Cont	35.06297477510559	128	things	01	10	things	6
cortex_Default	32.98915040863244	209	things	01	10	things	6
cortex_DorsAttn	36.027003490966784	122	things	01	10	things	6
cortex_Limbic	15.326580169358472	60	things	01	10	things	6
cortex_SalVentAttn	37.71420453946866	121	things	01	10	things	6
cortex_SomMot	36.14776179036738	194	things	01	10	things	6
cortex_Vis	27.94435404637481	162	things	01	10	things	6
subcortex_CAU	26.788472143857803	8	things	01	10	things	6
subcortex_PUT	25.614845053750557	8	things	01	10	things	6
subcortex_THA	24.833694316498963	14	things	01	10	things	6
cerebellum	30.916352089363418	88	things	01	11	things	1
cortex_Cont	42.24911823022119	128	things	01	11	things	1
cortex_Default	40.205069776234986	209	things	01	11	things	1
cortex_DorsAttn	46.70009794988624	122	things	01	11	things	1
cortex_Limbic	16.747221002317996	60	things	01	11	things	1
cortex_SalVentAttn	44.892178328357566	121	things	01	11	things	1
cortex_SomMot	45.4426919502441	194	things	01	11	things	1
cortex_Vis	37.25441702469073	162	things	01	11	things	1
subcortex_CAU	28.309313254444277	8	things	01	11	things	1
subcortex_PUT	27.89492252808032	8	things	01	11	things	1
subcortex_THA	27.803921328449746	14	things	01	11	things	1
cerebellum	29.61260760891337	88	things	01	11	things	2
cortex_Cont	41.393189208163186	128	things	01	11	things	2
cortex_Default	38.440239250178074	209	things	01	11	things	2
cortex_DorsAttn	43.76017723575006	122	things	01	11	things	2
cortex_Limbic	15.958025237588283	60	things	01	11	things	2
cortex_SalVentAttn	42.255201274379324	121	things	01	11	things	2
cortex_SomMot	41.76100200238913	194	things	01	11	things	2
cortex_Vis	35.28890482140556	162	things	01	11	things	2
subcortex_CAU	26.472473499740254	8	things	01	11	things	2
subcortex_PUT	26.03055540856765	8	things	01	11	things	2
subcortex_THA	26.444639321377444	14	things	01	11	things	2
cerebellum	30.144227564994647	88	things	01	11	things	3
cortex_Cont	41.43688890749682	128	things	01	11	things	3
cortex_Default	38.683256951550916	209	things	01	11	things	3
cortex_DorsAttn	45.80290561208905	122	things	01	11	things	3
cortex_Limbic	15.844969371096374	60	things	01	11	things	3
cortex_SalVentAttn	42.1722729110154	121	things	01	11	things	3
cortex_SomMot	42.381672884533096	194	things	01	11	things	3
cortex_Vis	36.50467385326817	162	things	01	11	things	3
subcortex_CAU	26.472310128272103	8	things	01	11	things	3
subcortex_PUT	25.50462887756977	8	things	01	11	things	3
subcortex_THA	26.830738581726802	14	things	01	11	things	3
cerebellum	24.13794146313902	88	things	01	11	things	4
cortex_Cont	35.95858543929063	128	things	01	11	things	4
cortex_Default	33.0054506904309	209	things	01	11	things	4
cortex_DorsAttn	38.02319428013043	122	things	01	11	things	4
cortex_Limbic	13.037303697875027	60	things	01	11	things	4
cortex_SalVentAttn	37.5426891464131	121	things	01	11	things	4
cortex_SomMot	36.904696081300514	194	things	01	11	things	4
cortex_Vis	28.93181703693165	162	things	01	11	things	4
subcortex_CAU	24.284792685299074	8	things	01	11	things	4
subcortex_PUT	24.82028555099327	8	things	01	11	things	4
subcortex_THA	24.33168128134907	14	things	01	11	things	4
cerebellum	27.992469150841263	88	things	01	11	things	5
cortex_Cont	39.73962529745789	128	things	01	11	things	5
cortex_Default	36.3868916378163	209	things	01	11	things	5
cortex_DorsAttn	42.655122323990085	122	things	01	11	things	5
cortex_Limbic	14.20802601578222	60	things	01	11	things	5
cortex_SalVentAttn	40.20547080650206	121	things	01	11	things	5
cortex_SomMot	40.2067673706142	194	things	01	11	things	5
