region_name	group	tsnr_mean	dataset	subject	session	task	run
7Networks_LH_Vis_73	cortex_Vis	53.492222963602266	floc	01	001	fLoc	1
7Networks_LH_Vis_74	cortex_Vis	63.88701291621352	floc	01	001	fLoc	1
7Networks_LH_Vis_75	cortex_Vis	47.349120419923125	floc	01	001	fLoc	1
7Networks_LH_Vis_76	cortex_Vis	55.93756365575373	floc	01	001	fLoc	1
7Networks_LH_Vis_77	cortex_Vis	56.48669221515315	floc	01	001	fLoc	1
7Networks_LH_Vis_78	cortex_Vis	60.30936587961679	floc	01	001	fLoc	1
7Networks_LH_Vis_79	cortex_Vis	48.447869743267745	floc	01	001	fLoc	1
7Networks_LH_Vis_80	cortex_Vis	60.65920543928451	floc	01	001	fLoc	1
7Networks_LH_Vis_81	cortex_Vis	59.860677469143766	floc	01	001	fLoc	1
7Networks_LH_SomMot_1	cortex_SomMot	38.87031832656496	floc	01	001	fLoc	1
7Networks_LH_SomMot_2	cortex_SomMot	41.37803572835342	floc	01	001	fLoc	1
7Networks_LH_SomMot_3	cortex_SomMot	39.609086805349435	floc	01	001	fLoc	1
7Networks_LH_SomMot_4	cortex_SomMot	41.88352360204999	floc	01	001	fLoc	1
7Networks_LH_SomMot_5	cortex_SomMot	45.344547022582496	floc	01	001	fLoc	1
7Networks_LH_SomMot_6	cortex_SomMot	36.28645826383951	floc	01	001	fLoc	1
7Networks_LH_SomMot_7	cortex_SomMot	46.16995224205887	floc	01	001	fLoc	1
7Networks_LH_SomMot_8	cortex_SomMot	43.562955730329676	floc	01	001	fLoc	1
7Networks_LH_SomMot_9	cortex_SomMot	47.45707562212448	floc	01	001	fLoc	1
7Networks_LH_SomMot_10	cortex_SomMot	35.90444838177603	floc	01	001	fLoc	1
7Networks_LH_SomMot_11	cortex_SomMot	38.47727798646243	floc	01	001	fLoc	1
7Networks_LH_SomMot_12	cortex_SomMot	43.103282937642675	floc	01	001	fLoc	1
7Networks_LH_SomMot_13	cortex_SomMot	44.05059327856381	floc	01	001	fLoc	1
7Networks_LH_SomMot_14	cortex_SomMot	41.48449808215212	floc	01	001	fLoc	1
7Networks_LH_SomMot_15	cortex_SomMot	35.55825558552483	floc	01	001	fLoc	1
7Networks_LH_SomMot_16	cortex_SomMot	42.29953335737045	floc	01	001	fLoc	1
7Networks_LH_SomMot_17	cortex_SomMot	43.50181120316507	floc	01	001	fLoc	1
7Networks_LH_SomMot_18	cortex_SomMot	40.03765557435984	floc	01	001	fLoc	1
7Networks_LH_SomMot_19	cortex_SomMot	52.15283694064707	floc	01	001	fLoc	1
7Networks_LH_SomMot_20	cortex_SomMot	44.76608688205197	floc	01	001	fLoc	1
7Networks_LH_SomMot_21	cortex_SomMot	45.654430685089125	floc	01	001	fLoc	1
7Networks_LH_SomMot_22	cortex_SomMot	46.76524729443407	floc	01	001	fLoc	1
7Networks_LH_SomMot_23	cortex_SomMot	51.70548334158325	floc	01	001	fLoc	1
7Networks_LH_SomMot_24	cortex_SomMot	37.99478907378048	floc	01	001	fLoc	1
7Networks_LH_SomMot_25	cortex_SomMot	41.58470876215412	floc	01	001	fLoc	1
7Networks_LH_SomMot_26	cortex_SomMot	49.2365542326899	floc	01	001	fLoc	1
7Networks_LH_SomMot_27	cortex_SomMot	47.55128203524977	floc	01	001	fLoc	1
7Networks_LH_SomMot_28	cortex_SomMot	43.77436845488843	floc	01	001	fLoc	1
7Networks_LH_SomMot_29	cortex_SomMot	57.48186899629369	floc	01	001	fLoc	1
7Networks_LH_SomMot_30	cortex_SomMot	47.384992974437026	floc	01	001	fLoc	1
7Networks_LH_SomMot_31	cortex_SomMot	54.83503543305688	floc	01	001	fLoc	1
7Networks_LH_SomMot_32	cortex_SomMot	59.063321857085356	floc	01	001	fLoc	1
7Networks_LH_SomMot_33	cortex_SomMot	55.48881858440813	floc	01	001	fLoc	1
7Networks_LH_SomMot_34	cortex_SomMot	62.11730603211321	floc	01	001	fLoc	1
7Networks_LH_SomMot_35	cortex_SomMot	54.776169792153254	floc	01	001	fLoc	1
7Networks_LH_SomMot_36	cortex_SomMot	55.10277534336758	floc	01	001	fLoc	1
7Networks_LH_SomMot_37	cortex_SomMot	60.99586803699384	floc	01	001	fLoc	1
7Networks_LH_SomMot_38	cortex_SomMot	54.98232675538987	floc	01	001	fLoc	1
7Networks_LH_SomMot_39	cortex_SomMot	54.0042632613865	floc	01	001	fLoc	1
7Networks_LH_SomMot_40	cortex_SomMot	49.45870928218934	floc	01	001	fLoc	1
7Networks_LH_SomMot_41	cortex_SomMot	46.63322040123713	floc	01	001	fLoc	1
7Networks_LH_SomMot_42	cortex_SomMot	44.44019242997492	floc	01	001	fLoc	1
7Networks_LH_SomMot_43	cortex_SomMot	50.197190257979166	floc	01	001	fLoc	1
7Networks_LH_SomMot_44	cortex_SomMot	47.402505849014496	floc	01	001	fLoc	1
7Networks_LH_SomMot_45	cortex_SomMot	58.589529213041786	floc	01	001	fLoc	1
7Networks_LH_SomMot_46	cortex_SomMot	45.26086765740013	floc	01	001	fLoc	1
7Networks_LH_SomMot_47	cortex_SomMot	43.5849191060503	floc	01	001	fLoc	1
7Networks_LH_SomMot_48	cortex_SomMot	56.66160809582222	floc	01	001	fLoc	1
7Networks_LH_SomMot_49	cortex_SomMot	49.17309249056518	floc	01	001	fLoc	1
7Networks_LH_SomMot_50	cortex_SomMot	51.51000217522821	floc	01	001	fLoc	1
7Networks_LH_SomMot_51	cortex_SomMot	43.61108396601904	floc	01	001	fLoc	1
7Networks_LH_SomMot_52	cortex_SomMot	47.7797306353614	floc	01	001	fLoc	1
7Networks_LH_SomMot_53	cortex_SomMot	49.58895238796944	floc	01	001	fLoc	1
7Networks_LH_SomMot_54	cortex_SomMot	42.96527409689448	floc	01	001	fLoc	1
7Networks_LH_SomMot_55	cortex_SomMot	44.616754854997154	floc	01	001	fLoc	1
7Networks_LH_SomMot_56	cortex_SomMot	52.9798829163618	floc	01	001	fLoc	1
7Networks_LH_SomMot_57	cortex_SomMot	51.12877552062631	floc	01	001	fLoc	1
7Networks_LH_SomMot_58	cortex_SomMot	49.05511745444566	floc	01	001	fLoc	1
7Networks_LH_SomMot_59	cortex_SomMot	53.63170035803332	floc	01	001	fLoc	1
7Networks_LH_SomMot_60	cortex_SomMot	46.644527078535596	floc	01	001	fLoc	1
7Networks_LH_SomMot_61	cortex_SomMot	54.78836612611568	floc	01	001	fLoc	1
7Networks_LH_SomMot_62	cortex_SomMot	50.55519686964716	floc	01	001	fLoc	1
